time_s,phase,x_m,y_m,z_m,linear_speed_mps,angular_speed_radps
0.0,initial,0.0,0.0,0.045399999999999996,0.0,0.0
0.001,loaded,0.0,0.0,0.04539019,0.00981,0.0
0.002,loaded,0.0,0.0,0.04537057,0.01962,0.0
0.003,loaded,0.0,0.0,0.04534114,0.029429999999999998,0.0
0.004,loaded,0.0,0.0,0.0453019,0.03924,0.0
0.005,loaded,0.0,0.0,0.04525285,0.049049999999999996,0.0
0.006,loaded,0.0,0.0,0.045193989999999996,0.058859999999999996,0.0
0.007,loaded,0.0,0.0,0.04512532,0.06867,0.0
0.008,loaded,0.0,0.0,0.04504684,0.07848,0.0
0.009000000000000001,loaded,0.0,0.0,0.04495855,0.08829,0.0
0.010000000000000002,loaded,0.0,0.0,0.04486045,0.09809999999999999,0.0
0.011000000000000003,loaded,0.0,0.0,0.04475254,0.10790999999999998,0.0
0.012000000000000004,loaded,0.0,0.0,0.04463482,0.11771999999999996,0.0
0.013000000000000005,loaded,0.0,0.0,0.04450729,0.12752999999999995,0.0
0.014000000000000005,loaded,0.0,0.0,0.04436995,0.13733999999999993,0.0
0.015000000000000006,loaded,0.0,0.0,0.0442228,0.14714999999999992,0.0
0.016000000000000007,loaded,0.0,0.0,0.04406584,0.1569599999999999,0.0
0.017000000000000008,loaded,0.0,0.0,0.043899070000000005,0.1667699999999999,0.0
0.01800000000000001,loaded,0.0,0.0,0.04372249,0.17657999999999988,0.0
0.01900000000000001,loaded,0.0,0.0,0.0435361,0.18638999999999986,0.0
0.02000000000000001,loaded,0.0,0.0,0.0433399,0.19619999999999985,0.0
0.02100000000000001,loaded,0.0,0.0,0.04313389,0.20600999999999983,0.0
0.022000000000000013,loaded,0.0,0.0,0.04291807,0.21581999999999982,0.0
0.023000000000000013,loaded,0.0,0.0,0.042692440000000005,0.2256299999999998,0.0
0.024000000000000014,loaded,0.0,0.0,0.04245700000000001,0.2354399999999998,0.0
0.025000000000000015,loaded,0.0,0.0,0.042211750000000006,0.24524999999999977,0.0
0.026000000000000016,loaded,0.0,0.0,0.041956690000000005,0.25505999999999973,0.0
0.027000000000000017,loaded,0.0,0.0,0.041691820000000004,0.2648699999999997,0.0
0.028000000000000018,loaded,0.0,0.0,0.041417140000000005,0.2746799999999997,0.0
0.02900000000000002,loaded,0.0,0.0,0.04113265000000001,0.2844899999999997,0.0
0.03000000000000002,loaded,0.0,0.0,0.04083835000000001,0.2942999999999997,0.0
0.03100000000000002,loaded,0.0,0.0,0.04053424000000001,0.30410999999999966,0.0
0.03200000000000002,loaded,0.0,0.0,0.04022032000000001,0.31391999999999964,0.0
0.03300000000000002,loaded,0.0,0.0,0.03989659000000001,0.32372999999999963,0.0
0.03400000000000002,loaded,0.0,0.0,0.03956305000000001,0.3335399999999996,0.0
0.035000000000000024,loaded,0.0,0.0,0.03921970000000001,0.3433499999999996,0.0
0.036000000000000025,loaded,0.0,0.0,0.03886654000000001,0.3531599999999996,0.0
0.037000000000000026,loaded,0.0,0.0,0.038503570000000015,0.36296999999999957,0.0
0.03800000000000003,loaded,0.0,0.0,0.03813079000000002,0.37277999999999956,0.0
0.03900000000000003,loaded,0.0,0.0,0.037748200000000016,0.38258999999999954,0.0
0.04000000000000003,loaded,0.0,0.0,0.037355800000000015,0.3923999999999995,0.0
0.04100000000000003,loaded,0.0,0.0,0.036953590000000015,0.4022099999999995,0.0
0.04200000000000003,loaded,0.0,0.0,0.036541570000000016,0.4120199999999995,0.0
0.04300000000000003,loaded,0.0,0.0,0.03611974000000002,0.4218299999999995,0.0
0.04400000000000003,loaded,0.0,0.0,0.03568810000000002,0.43163999999999947,0.0
0.04500000000000003,loaded,0.0,0.0,0.03524665000000002,0.44144999999999945,0.0
0.046000000000000034,loaded,0.0,0.0,0.034795390000000016,0.45125999999999944,0.0
0.047000000000000035,loaded,0.0,0.0,0.034334320000000015,0.4610699999999994,0.0
0.048000000000000036,loaded,0.0,0.0,0.033863440000000015,0.4708799999999994,0.0
0.04900000000000004,loaded,0.0,0.0,0.03338275000000002,0.4806899999999994,0.0
0.05000000000000004,loaded,0.0,0.0,0.03289225000000002,0.4904999999999994,0.0
0.05100000000000004,loaded,0.0,0.0,0.03239194000000002,0.5003099999999994,0.0
0.05200000000000004,loaded,0.0,0.0,0.03188182000000002,0.5101199999999994,0.0
0.05300000000000004,loaded,0.0,0.0,0.03136189000000002,0.5199299999999993,0.0
0.05400000000000004,loaded,0.0,0.0,0.030832150000000016,0.5297399999999993,0.0
0.05500000000000004,loaded,0.0,0.0,0.030292600000000017,0.5395499999999993,0.0
0.05600000000000004,loaded,0.0,0.0,0.02976070843824459,0.5318915617554263,0.4513178616447235
0.057000000000000044,loaded,-1.3750846582549122e-08,0.0,0.029236059593959324,0.5246488444654694,0.8916278629374073
0.058000000000000045,loaded,-6.763734099395613e-08,0.0,0.028718306142089353,0.517753454674156,1.322450793822367
0.059000000000000045,loaded,-1.9983927173136064e-07,0.0,0.028207157138618173,0.511149020567321,1.7450116349924507
0.060000000000000046,loaded,-5.080480684387571e-07,0.0,0.027718931558806448,0.48822567709529135,2.159474323968432
0.06100000000000005,loaded,-1.2148425922185863e-06,0.0,0.02728378205471518,0.4351500780987823,2.5506991959583964
0.06200000000000005,loaded,-2.6212108063738007e-06,0.0,0.026917134368139167,0.36665038380328363,3.4420243816499707
0.06300000000000004,loaded,-5.072084611976825e-06,0.0,0.02661981830704421,0.29732616260166356,3.6628018331167564
0.06400000000000004,loaded,-8.957332247592315e-06,0.0,0.026405528559713932,0.2143249657880839,2.986205033599474
0.06500000000000004,loaded,-1.4370703234923283e-05,0.0,0.026254975603624144,0.1506502478352446,2.3369675027016568
0.06600000000000004,loaded,-2.124708523113342e-05,9.558672807788249e-24,0.026150295789949603,0.10490542417003314,1.8127860269288338
